Level	Power	Power (Calculated)	Upgrade	Forge Hammer
645	82,125,000	82,125,000	645 » 646	480
646	82,365,000	82,365,000	646 » 647	480
647	82,605,000	82,605,000	647 » 648	485
648	82,847,500	82,847,500	648 » 649	485
649	83,090,000	83,090,000	649 » 650	485
650	83,332,500	83,332,500	650 » 651	485
651	83,575,000	83,575,000	651 » 652	485
652	83,817,500	83,817,500	652 » 653	485
653	84,060,000	84,060,000	653 » 654	485
654	84,302,500	84,302,500	654 » 655	490
655	84,547,500	84,547,500	655 » 656	490
656	84,792,500	84,792,500	656 » 657	490
657	85,037,500	85,037,500	657 » 658	490
658	85,282,500	85,282,500	658 » 659	490
659	85,527,500	85,527,500	659 » 660	490
660	85,772,500	85,772,500	660 » 661	490
661	86,017,500	86,017,500	661 » 662	490
662	86,262,500	86,262,500	662 » 663	495
663	86,510,000	86,510,000	663 » 664	495
664	86,757,500	86,757,500	664 » 665	495
665	87,005,000	87,005,000	665 » 666	495
666	87,252,500	87,252,500	666 » 667	495
667	87,500,000	87,500,000	667 » 668	495
668	87,747,500	87,747,500	668 » 669	495
669	87,995,000	87,995,000	669 » 670	500
670	88,245,000	88,245,000	670 » 671	500
671	88,495,000	88,495,000	671 » 672	500
672	88,745,000	88,745,000	672 » 673	500
673	88,995,000	88,995,000	673 » 674	500
674	89,245,000	89,245,000	674 » 675	500
675	89,495,000	89,495,000	675 » 676	500
676	89,745,000	89,745,000	676 » 677	500
677	89,995,000	89,995,000	677 » 678	505
678	90,247,500	90,247,500	678 » 679	505
679	90,500,000	90,500,000	679 » 680	505
680	90,752,500	90,752,500	680 » 681	505
681	91,005,000	91,005,000	681 » 682	505
682	91,257,500	91,257,500	682 » 683	505
683	91,510,000	91,510,000	683 » 684	505
684	91,762,500	91,762,500	684 » 685	505
685	92,015,000	92,015,000	685 » 686	510
686	92,270,000	92,270,000	686 » 687	510
687	92,525,000	92,525,000	687 » 688	510
688	92,780,000	92,780,000	688 » 689	510
689	93,035,000	93,035,000	689 » 690	510
690	93,290,000	93,290,000	690 » 691	510
691	93,545,000	93,545,000	691 » 692	510
692	93,800,000	93,800,000	692 » 693	515
693	94,057,500	94,057,500	693 » 694	515
694	94,315,000	94,315,000	694 » 695	515
695	94,572,500	94,572,500	695 » 696	515
696	94,830,000	94,830,000	696 » 697	515
697	95,087,500	95,087,500	697 » 698	515
698	95,345,000	95,345,000	698 » 699	515
699	95,602,500	95,602,500	699 » 700	515
700	95,860,000	95,860,000	700 » 701	520
701	96,120,000	96,120,000	701 » 702	520
702	96,380,000	96,380,000	702 » 703	520
703	96,640,000	96,640,000	703 » 704	520
704	96,900,000	96,900,000	704 » 705	520
705	97,160,000	97,160,000	705 » 706	520
706	97,420,000	97,420,000	706 » 707	520
707	97,680,000	97,680,000	707 » 708	525
708	97,942,500	97,942,500	708 » 709	525
709	98,205,000	98,205,000	709 » 710	525
710	98,467,500	98,467,500	710 » 711	525
711	98,730,000	98,730,000	711 » 712	525
712	98,992,500	98,992,500	712 » 713	525
713	99,255,000	99,255,000	713 » 714	525
714	99,517,500	99,517,500	714 » 715	525
715	99,780,000	99,780,000	715 » 716	530
716	100,045,000	100,045,000	716 » 717	530
717	100,310,000	100,310,000	717 » 718	530
718	100,575,000	100,575,000	718 » 719	530
719	100,840,000	100,840,000	719 » 720	530
720	101,105,000	101,105,000	720 » 721	530
721	101,370,000	101,370,000	721 » 722	530
722	101,635,000	101,635,000	722 » 723	535
723	101,902,500	101,902,500	723 » 724	535
724	102,170,000	102,170,000	724 » 725	535
725	102,437,500	102,437,500	725 » 726	535
726	102,705,000	102,705,000	726 » 727	535
727	102,972,500	102,972,500	727 » 728	535
728	103,240,000	103,240,000	728 » 729	535
729	103,507,500	103,507,500	729 » 730	535
730	103,775,000	103,775,000	730 » 731	540
731	104,045,000	104,045,000	731 » 732	540
732	104,315,000	104,315,000	732 » 733	540
733	104,585,000	104,585,000	733 » 734	540
734	104,855,000	104,855,000	734 » 735	540
735	105,125,000	105,125,000	735 » 736	540
736	105,395,000	105,395,000	736 » 737	540
737	105,665,000	105,665,000	737 » 738	545
738	105,937,500	105,937,500	738 » 739	545
739	106,210,000	106,210,000	739 » 740	545
740	106,482,500	106,482,500	740 » 741	545
741	106,755,000	106,755,000	741 » 742	545
742	107,027,500	107,027,500	742 » 743	545
743	107,300,000	107,300,000	743 » 744	545
744	107,572,500	107,572,500	744 » 745	545
745	107,845,000	107,845,000	745 » 746	550
746	108,120,000	108,120,000	746 » 747	550
747	108,395,000	108,395,000	747 » 748	550
748	108,670,000	108,670,000	748 » 749	550
749	108,945,000	108,945,000	749 » 750	550
750	109,220,000	109,220,000	750 » 751	550
751	109,495,000	109,495,000	751 » 752	550
752	109,770,000	109,770,000	752 » 753	550
753	110,045,000	110,045,000	753 » 754	555
754	110,322,500	110,322,500	754 » 755	555
755	110,600,000	110,600,000	755 » 756	555
756	110,877,500	110,877,500	756 » 757	555
757	111,155,000	111,155,000	757 » 758	555
758	111,432,500	111,432,500	758 » 759	555
759	111,710,000	111,710,000	759 » 760	555
760	111,987,500	111,987,500	760 » 761	560
761	112,267,500	112,267,500	761 » 762	560
762	112,547,500	112,547,500	762 » 763	560
763	112,827,500	112,827,500	763 » 764	560
764	113,107,500	113,107,500	764 » 765	560
765	113,387,500	113,387,500	765 » 766	560
766	113,667,500	113,667,500	766 » 767	560
767	113,947,500	113,947,500	767 » 768	560
768	114,227,500	114,227,500	768 » 769	565
769	114,510,000	114,510,000	769 » 770	565
770	114,792,500	114,792,500	770 » 771	565
771	115,075,000	115,075,000	771 » 772	565
772	115,357,500	115,357,500	772 » 773	565
773	115,640,000	115,640,000	773 » 774	565
774	115,922,500	115,922,500	774 » 775	565
775	116,205,000	116,205,000	775 » 776	565
776	116,487,500	116,487,500	776 » 777	570
777	116,772,500	116,772,500	777 » 778	570
778	117,057,500	117,057,500	778 » 779	570
779	117,342,500	117,342,500	779 » 780	570
780	117,627,500	117,627,500	780 » 781	570
781	117,912,500	117,912,500	781 » 782	570
782	118,197,500	118,197,500	782 » 783	570
783	118,482,500	118,482,500	783 » 784	575
784	118,770,000	118,770,000	784 » 785	575
785	119,057,500	119,057,500	785 » 786	575
786	119,345,000	119,345,000	786 » 787	575
787	119,632,500	119,632,500	787 » 788	575
788	119,920,000	119,920,000	788 » 789	575
789	120,207,500	120,207,500	789 » 790	575
790	120,495,000	120,495,000	790 » 791	575
791	120,782,500	120,782,500	791 » 792	580
792	121,072,500	121,072,500	792 » 793	580
793	121,362,500	121,362,500	793 » 794	580
794	121,652,500	121,652,500	794 » 795	580
795	121,942,500	121,942,500	795 » 796	580
796	122,232,500	122,232,500	796 » 797	580
797	122,522,500	122,522,500	797 » 798	580
798	122,812,500	122,812,500	798 » 799	585
799	123,105,000	123,105,000	799 » 800	585
800	123,397,500	123,397,500	800 » 801	585
801	123,690,000	123,690,000	801 » 802	585
802	123,982,500	123,982,500	802 » 803	585
803	124,275,000	124,275,000	803 » 804	585
804	124,567,500	124,567,500	804 » 805	585
805	124,860,000	124,860,000	805 » 806	585
806	125,152,500	125,152,500	806 » 807	590
807	125,447,500	125,447,500	807 » 808	590
808	125,742,500	125,742,500	808 » 809	590
809	126,037,500	126,037,500	809 » 810	590
810	126,332,500	126,332,500	810 » 811	590
811	126,627,500	126,627,500	811 » 812	590
812	126,922,500	126,922,500	812 » 813	590
813	127,217,500	127,217,500	813 » 814	590
814	127,512,500	127,512,500	814 » 815	595
815	127,810,000	127,810,000	815 » 816	595
816	128,107,500	128,107,500	816 » 817	595
817	128,405,000	128,405,000	817 » 818	595
818	128,702,500	128,702,500	818 » 819	595
819	129,000,000	129,000,000	819 » 820	595
820	129,297,500	129,297,500	820 » 821	595
821	129,595,000	129,595,000	821 » 822	600
822	129,895,000	129,895,000	822 » 823	600
823	130,195,000	130,195,000	823 » 824	600
824	130,495,000	130,495,000	824 » 825	600
825	130,795,000	130,795,000	825 » 826	600
826	131,095,000	131,095,000	826 » 827	600
827	131,395,000	131,395,000	827 » 828	600
828	131,695,000	131,695,000	828 » 829	600
829	131,995,000	131,995,000	829 » 830	605
830	132,297,500	132,297,500	830 » 831	605
831	132,600,000	132,600,000	831 » 832	605
832	132,902,500	132,902,500	832 » 833	605
833	133,205,000	133,205,000	833 » 834	605
834	133,507,500	133,507,500	834 » 835	605
835	133,810,000	133,810,000	835 » 836	605
836	134,112,500	134,112,500	836 » 837	605
837	134,415,000	134,415,000	837 » 838	610
838	134,720,000	134,720,000	838 » 839	610
839	135,025,000	135,025,000	839 » 840	610
840	135,330,000	135,330,000	840 » 841	610
841	135,635,000	135,635,000	841 » 842	610
842	135,940,000	135,940,000	842 » 843	610
843	136,245,000	136,245,000	843 » 844	610
844	136,550,000	136,550,000	844 » 845	610
845	136,855,000	136,855,000	845 » 846	615
846	137,162,500	137,162,500	846 » 847	615
847	137,470,000	137,470,000	847 » 848	615
848	137,777,500	137,777,500	848 » 849	615
849	138,085,000	138,085,000	849 » 850	615
850	138,392,500	138,392,500	850 » 851	615
851	138,700,000	138,700,000	851 » 852	615
852	139,007,500	139,007,500	852 » 853	620
853	139,317,500	139,317,500	853 » 854	620
854	139,627,500	139,627,500	854 » 855	620
855	139,937,500	139,937,500	855 » 856	620
856	140,247,500	140,247,500	856 » 857	620
857	140,557,500	140,557,500	857 » 858	620
858	140,867,500	140,867,500	858 » 859	620
859	141,177,500	141,177,500	859 » 860	620
860	141,487,500	141,487,500	860 » 861	625
861	141,800,000	141,800,000	861 » 862	625
862	142,112,500	142,112,500	862 » 863	625
863	142,425,000	142,425,000	863 » 864	625
864	142,737,500	142,737,500	864 » 865	625
865	143,050,000	143,050,000	865 » 866	625
866	143,362,500	143,362,500	866 » 867	625
867	143,675,000	143,675,000	867 » 868	625
868	143,987,500	143,987,500	868 » 869	630
869	144,302,500	144,302,500	869 » 870	630
870	144,617,500	144,617,500	870 » 871	630
871	144,932,500	144,932,500	871 » 872	630
872	145,247,500	145,247,500	872 » 873	630
873	145,562,500	145,562,500	873 » 874	630
874	145,877,500	145,877,500	874 » 875	630
875	146,192,500	146,192,500	875 » 876	635
876	146,510,000	146,510,000	876 » 877	635
877	146,827,500	146,827,500	877 » 878	635
878	147,145,000	147,145,000	878 » 879	635
879	147,462,500	147,462,500	879 » 880	635
880	147,780,000	147,780,000	880 » 881	635
881	148,097,500	148,097,500	881 » 882	635
882	148,415,000	148,415,000	882 » 883	635
883	148,732,500	148,732,500	883 » 884	640
884	149,052,500	149,052,500	884 » 885	640
885	149,372,500	149,372,500	885 » 886	640
886	149,692,500	149,692,500	886 » 887	640
887	150,012,500	150,012,500	887 » 888	640
888	150,332,500	150,332,500	888 » 889	640
889	150,652,500	150,652,500	889 » 890	640
890	150,972,500	150,972,500	890 » 891	640
891	151,292,500	151,292,500	891 » 892	645
892	151,615,000	151,615,000	892 » 893	645
893	151,937,500	151,937,500	893 » 894	645
894	152,260,000	152,260,000	894 » 895	645
895	152,582,500	152,582,500	895 » 896	645
896	152,905,000	152,905,000	896 » 897	645
897	153,227,500	153,227,500	897 » 898	645
898	153,550,000	153,550,000	898 » 899	645
899	153,872,500	153,872,500	899 » 900	650
900	154,197,500	154,197,500	900 » 901	650
901	154,522,500	154,522,500	901 » 902	650
902	154,847,500	154,847,500	902 » 903	650
903	155,172,500	155,172,500	903 » 904	650
904	155,497,500	155,497,500	904 » 905	650
905	155,822,500	155,822,500	905 » 906	650
906	156,147,500	156,147,500	906 » 907	655
907	156,475,000	156,475,000	907 » 908	655
908	156,802,500	156,802,500	908 » 909	655
909	157,130,000	157,130,000	909 » 910	655
910	157,457,500	157,457,500	910 » 911	655
911	157,785,000	157,785,000	911 » 912	655
912	158,112,500	158,112,500	912 » 913	655
913	158,440,000	158,440,000	913 » 914	655
914	158,767,500	158,767,500	914 » 915	660
915	159,097,500	159,097,500	915 » 916	660
916	159,427,500	159,427,500	916 » 917	660
917	159,757,500	159,757,500	917 » 918	660
918	160,087,500	160,087,500	918 » 919	660
919	160,417,500	160,417,500	919 » 920	660
920	160,747,500	160,747,500	920 » 921	660
921	161,077,500	161,077,500	921 » 922	660
922	161,407,500	161,407,500	922 » 923	665
923	161,740,000	161,740,000	923 » 924	665
924	162,072,500	162,072,500	924 » 925	665
925	162,405,000	162,405,000	925 » 926	665
926	162,737,500	162,737,500	926 » 927	665
927	163,070,000	163,070,000	927 » 928	665
928	163,402,500	163,402,500	928 » 929	665
929	163,735,000	163,735,000	929 » 930	665
930	164,067,500	164,067,500	930 » 931	670
931	164,402,500	164,402,500	931 » 932	670
932	164,737,500	164,737,500	932 » 933	670
933	165,072,500	165,072,500	933 » 934	670
934	165,407,500	165,407,500	934 » 935	670
935	165,742,500	165,742,500	935 » 936	670
936	166,077,500	166,077,500	936 » 937	670
937	166,412,500	166,412,500	937 » 938	675
938	166,750,000	166,750,000	938 » 939	675
939	167,087,500	167,087,500	939 » 940	675
940	167,425,000	167,425,000	940 » 941	675
941	167,762,500	167,762,500	941 » 942	675
942	168,100,000	168,100,000	942 » 943	675
943	168,437,500	168,437,500	943 » 944	675
944	168,775,000	168,775,000	944 » 945	675
945	169,112,500	169,112,500	945 » 946	680
946	169,452,500	169,452,500	946 » 947	680
947	169,792,500	169,792,500	947 » 948	680
948	170,132,500	170,132,500	948 » 949	680
949	170,472,500	170,472,500	949 » 950	680
950	170,812,500	170,812,500	950 » 951	680
951	171,152,500	171,152,500	951 » 952	680
952	171,492,500	171,492,500	952 » 953	680
953	171,832,500	171,832,500	953 » 954	685
954	172,175,000	172,175,000	954 » 955	685
955	172,517,500	172,517,500	955 » 956	685
956	172,860,000	172,860,000	956 » 957	685
957	173,202,500	173,202,500	957 » 958	685
958	173,545,000	173,545,000	958 » 959	685
959	173,887,500	173,887,500	959 » 960	685
960	174,230,000	174,230,000	960 » 961	685
961	174,572,500	174,572,500	961 » 962	690
962	174,917,500	174,917,500	962 » 963	690
963	175,262,500	175,262,500	963 » 964	690
964	175,607,500	175,607,500	964 » 965	690
965	175,952,500	175,952,500	965 » 966	690
966	176,297,500	176,297,500	966 » 967	690
967	176,642,500	176,642,500	967 » 968	690
968	176,987,500	176,987,500	968 » 969	690
969	177,332,500	177,332,500	969 » 970	695
970	177,680,000	177,680,000	970 » 971	695
971	178,027,500	178,027,500	971 » 972	695
972	178,375,000	178,375,000	972 » 973	695
973	178,722,500	178,722,500	973 » 974	695
974	179,070,000	179,070,000	974 » 975	695
975	179,417,500	179,417,500	975 » 976	695
976	179,765,000	179,765,000	976 » 977	700
977	180,115,000	180,115,000	977 » 978	700
978	180,465,000	180,465,000	978 » 979	700
979	180,815,000	180,815,000	979 » 980	700
980	181,165,000	181,165,000	980 » 981	700
981	181,515,000	181,515,000	981 » 982	700
982	181,865,000	181,865,000	982 » 983	700
983	182,215,000	182,215,000	983 » 984	700
984	182,565,000	182,565,000	984 » 985	705
985	182,917,500	182,917,500	985 » 986	705
986	183,270,000	183,270,000	986 » 987	705
987	183,622,500	183,622,500	987 » 988	705
988	183,975,000	183,975,000	988 » 989	705
989	184,327,500	184,327,500	989 » 990	705
990	184,680,000	184,680,000	990 » 991	705
991	185,032,500	185,032,500	991 » 992	705
992	185,385,000	185,385,000	992 » 993	710
993	185,740,000	185,740,000	993 » 994	710
994	186,095,000	186,095,000	994 » 995	710
995	186,450,000	186,450,000	995 » 996	710
996	186,805,000	186,805,000	996 » 997	710
997	187,160,000	187,160,000	997 » 998	710
998	187,515,000	187,515,000	998 » 999	710
999	187,870,000	187,870,000	999 » 1000	710
1000	188,225,000	188,225,000	1000 » 1001	715
1001	188,582,500	188,582,500	1001 » 1002	715
1002	188,940,000	188,940,000	1002 » 1003	715
1003	189,297,500	189,297,500	1003 » 1004	715
1004	189,655,000	189,655,000	1004 » 1005	715
1005	190,012,500	190,012,500	1005 » 1006	715
1006	190,370,000	190,370,000	1006 » 1007	715
1007	190,727,500	190,727,500	1007 » 1008	715
1008	191,085,000	191,085,000	1008 » 1009	720
1009	191,445,000	191,445,000	1009 » 1010	720
1010	191,805,000	191,805,000	1010 » 1011	720
1011	192,165,000	192,165,000	1011 » 1012	720
1012	192,525,000	192,525,000	1012 » 1013	720
1013	192,885,000	192,885,000	1013 » 1014	720
1014	193,245,000	193,245,000	1014 » 1015	720
1015	193,605,000	193,605,000	1015 » 1016	725
1016	193,967,500	193,967,500	1016 » 1017	725
1017	194,330,000	194,330,000	1017 » 1018	725
1018	194,692,500	194,692,500	1018 » 1019	725
1019	195,055,000	195,055,000	1019 » 1020	725
1020	195,417,500	195,417,500	1020 » 1021	725
1021	195,780,000	195,780,000	1021 » 1022	725
1022	196,142,500	196,142,500	1022 » 1023	725
1023	196,505,000	196,505,000	1023 » 1024	730
1024	196,870,000	196,870,000	1024 » 1025	730
1025	197,235,000	197,235,000	1025 » 1026	730
1026	197,600,000	197,600,000	1026 » 1027	730
1027	197,965,000	197,965,000	1027 » 1028	730
1028	198,330,000	198,330,000	1028 » 1029	730
1029	198,695,000	198,695,000	1029 » 1030	730
1030	199,060,000	199,060,000	1030 » 1031	730
1031	199,425,000	199,425,000	1031 » 1032	735
1032	199,792,500	199,792,500	1032 » 1033	735
1033	200,160,000	200,160,000	1033 » 1034	735
1034	200,527,500	200,527,500	1034 » 1035	735
1035	200,895,000	200,895,000	1035 » 1036	735
1036	201,262,500	201,262,500	1036 » 1037	735
1037	201,630,000	201,630,000	1037 » 1038	735
1038	201,997,500	201,997,500	1038 » 1039	735
1039	202,365,000	202,365,000	1039 » 1040	740
1040	202,735,000	202,735,000	1040 » 1041	740
1041	203,105,000	203,105,000	1041 » 1042	740
1042	203,475,000	203,475,000	1042 » 1043	740
1043	203,845,000	203,845,000	1043 » 1044	740
1044	204,215,000	204,215,000	1044 » 1045	740
1045	204,585,000	204,585,000	1045 » 1046	740
1046	204,955,000	204,955,000	1046 » 1047	740
1047	205,325,000	205,325,000	1047 » 1048	745
1048	205,697,500	205,697,500	1048 » 1049	745
1049	206,070,000	206,070,000	1049 » 1050	745
1050	206,442,500	206,442,500	1050 » 1051	745
1051	206,815,000	206,815,000	1051 » 1052	745
1052	207,187,500	207,187,500	1052 » 1053	745
1053	207,560,000	207,560,000	1053 » 1054	745
1054	207,932,500	207,932,500	1054 » 1055	745
1055	208,305,000	208,305,000	1055 » 1056	750
1056	208,680,000	208,680,000	1056 » 1057	750
1057	209,055,000	209,055,000	1057 » 1058	750
1058	209,430,000	209,430,000	1058 » 1059	750
1059	209,805,000	209,805,000	1059 » 1060	750
1060	210,180,000	210,180,000	1060 » 1061	750
1061	210,555,000	210,555,000	1061 » 1062	750
1062	210,930,000	210,930,000	1062 » 1063	750
1063	211,305,000	211,305,000	1063 » 1064	755
1064	211,682,500	211,682,500	1064 » 1065	755
1065	212,060,000	212,060,000	1065 » 1066	755
1066	212,437,500	212,437,500	1066 » 1067	755
1067	212,815,000	212,815,000	1067 » 1068	755
1068	213,192,500	213,192,500	1068 » 1069	755
1069	213,570,000	213,570,000	1069 » 1070	755
1070	213,947,500	213,947,500	1070 » 1071	760
1071	214,327,500	214,327,500	1071 » 1072	760
1072	214,707,500	214,707,500	1072 » 1073	760
1073	215,087,500	215,087,500	1073 » 1074	760
1074	215,467,500	215,467,500	1074 » 1075	760
1075	215,847,500	215,847,500	1075 » 1076	760
1076	216,227,500	216,227,500	1076 » 1077	760
1077	216,607,500	216,607,500	1077 » 1078	760
1078	216,987,500	216,987,500	1078 » 1079	765
1079	217,370,000	217,370,000	1079 » 1080	765
1080	217,752,500	217,752,500	1080 » 1081	765
1081	218,135,000	218,135,000	1081 » 1082	765
1082	218,517,500	218,517,500	1082 » 1083	765
1083	218,900,000	218,900,000	1083 » 1084	765
1084	219,282,500	219,282,500	1084 » 1085	765
1085	219,665,000	219,665,000	1085 » 1086	765
1086	220,047,500	220,047,500	1086 » 1087	770
1087	220,432,500	220,432,500	1087 » 1088	770
1088	220,817,500	220,817,500	1088 » 1089	770
1089	221,202,500	221,202,500	1089 » 1090	770
1090	221,587,500	221,587,500	1090 » 1091	770
1091	221,972,500	221,972,500	1091 » 1092	770
1092	222,357,500	222,357,500	1092 » 1093	770
1093	222,742,500	222,742,500	1093 » 1094	770
1094	223,127,500	223,127,500	1094 » 1095	775
1095	223,515,000	223,515,000	1095 » 1096	775
1096	223,902,500	223,902,500	1096 » 1097	775
1097	224,290,000	224,290,000	1097 » 1098	775
1098	224,677,500	224,677,500	1098 » 1099	775
1099	225,065,000	225,065,000	1099 » 1100	775
1100	225,452,500	225,452,500	1100 » 1101	775
1101	225,840,000	225,840,000	1101 » 1102	775
1102	226,227,500	226,227,500	1102 » 1103	780
1103	226,617,500	226,617,500	1103 » 1104	780
1104	227,007,500	227,007,500	1104 » 1105	780
1105	227,397,500	227,397,500	1105 » 1106	780
1106	227,787,500	227,787,500	1106 » 1107	780
1107	228,177,500	228,177,500	1107 » 1108	780
1108	228,567,500	228,567,500	1108 » 1109	780
1109	228,957,500	228,957,500	1109 » 1110	780
1110	229,347,500	229,347,500	1110 » 1111	785
1111	229,740,000	229,740,000	1111 » 1112	785
1112	230,132,500	230,132,500	1112 » 1113	785
1113	230,525,000	230,525,000	1113 » 1114	785
1114	230,917,500	230,917,500	1114 » 1115	785
1115	231,310,000	231,310,000	1115 » 1116	785
1116	231,702,500	231,702,500	1116 » 1117	785
1117	232,095,000	232,095,000	1117 » 1118	785
1118	232,487,500	232,487,500	1118 » 1119	790
1119	232,882,500	232,882,500	1119 » 1120	790
1120	233,277,500	233,277,500	1120 » 1121	790
1121	233,672,500	233,672,500	1121 » 1122	790
1122	234,067,500	234,067,500	1122 » 1123	790
1123	234,462,500	234,462,500	1123 » 1124	790
1124	234,857,500	234,857,500	1124 » 1125	790
1125	235,252,500	235,252,500	1125 » 1126	790
1126	235,647,500	235,647,500	1126 » 1127	795
1127	236,045,000	236,045,000	1127 » 1128	795
1128	236,442,500	236,442,500	1128 » 1129	795
1129	236,840,000	236,840,000	1129 » 1130	795
1130	237,237,500	237,237,500	1130 » 1131	795
1131	237,635,000	237,635,000	1131 » 1132	795
1132	238,032,500	238,032,500	1132 » 1133	795
1133	238,430,000	238,430,000	1133 » 1134	795
1134	238,827,500	238,827,500	1134 » 1135	800
1135	239,227,500	239,227,500	1135 » 1136	800
1136	239,627,500	239,627,500	1136 » 1137	800
1137	240,027,500	240,027,500	1137 » 1138	800
1138	240,427,500	240,427,500	1138 » 1139	800
1139	240,827,500	240,827,500	1139 » 1140	800
1140	241,227,500	241,227,500	1140 » 1141	800
1141	241,627,500	241,627,500	1141 » 1142	800
1142	242,027,500	242,027,500	1142 » 1143	805
1143	242,430,000	242,430,000	1143 » 1144	805
1144	242,832,500	242,832,500	1144 » 1145	805
1145	243,235,000	243,235,000	1145 » 1146	805
1146	243,637,500	243,637,500	1146 » 1147	805
1147	244,040,000	244,040,000	1147 » 1148	805
1148	244,442,500	244,442,500	1148 » 1149	805
1149	244,845,000	244,845,000	1149 » 1150	805
1150	245,247,500	245,247,500	1150 » 1151	810
1151	245,652,500	245,652,500	1151 » 1152	810
1152	246,057,500	246,057,500	1152 » 1153	810
1153	246,462,500	246,462,500	1153 » 1154	810
1154	246,867,500	246,867,500	1154 » 1155	810
1155	247,272,500	247,272,500	1155 » 1156	810
1156	247,677,500	247,677,500	1156 » 1157	810
1157	248,082,500	248,082,500	1157 » 1158	815
1158	248,490,000	248,490,000	1158 » 1159	815
1159	248,897,500	248,897,500	1159 » 1160	815
1160	249,305,000	249,305,000	1160 » 1161	815
1161	249,712,500	249,712,500	1161 » 1162	815
1162	250,120,000	250,120,000	1162 » 1163	815
1163	250,527,500	250,527,500	1163 » 1164	815
1164	250,935,000	250,935,000	1164 » 1165	815
1165	251,342,500	251,342,500	1165 » 1166	820
1166	251,752,500	251,752,500	1166 » 1167	820
1167	252,162,500	252,162,500	1167 » 1168	820
1168	252,572,500	252,572,500	1168 » 1169	820
1169	252,982,500	252,982,500	1169 » 1170	820
1170	253,392,500	253,392,500	1170 » 1171	820
1171	253,802,500	253,802,500	1171 » 1172	820
1172	254,212,500	254,212,500	1172 » 1173	820
1173	254,622,500	254,622,500	1173 » 1174	825
1174	255,035,000	255,035,000	1174 » 1175	825
1175	255,447,500	255,447,500	1175 » 1176	825
1176	255,860,000	255,860,000	1176 » 1177	825
1177	256,272,500	256,272,500	1177 » 1178	825
1178	256,685,000	256,685,000	1178 » 1179	825
1179	257,097,500	257,097,500	1179 » 1180	825
1180	257,510,000	257,510,000	1180 » 1181	825
1181	257,922,500	257,922,500	1181 » 1182	830
1182	258,337,500	258,337,500	1182 » 1183	830
1183	258,752,500	258,752,500	1183 » 1184	830
1184	259,167,500	259,167,500	1184 » 1185	830
1185	259,582,500	259,582,500	1185 » 1186	830
1186	259,997,500	259,997,500	1186 » 1187	830
1187	260,412,500	260,412,500	1187 » 1188	830
1188	260,827,500	260,827,500	1188 » 1189	830
1189	261,242,500	261,242,500	1189 » 1190	835
1190	261,660,000	261,660,000	1190 » 1191	835
1191	262,077,500	262,077,500	1191 » 1192	835
1192	262,495,000	262,495,000	1192 » 1193	835
1193	262,912,500	262,912,500	1193 » 1194	835
1194	263,330,000	263,330,000	1194 » 1195	835
1195	263,747,500	263,747,500	1195 » 1196	835
1196	264,165,000	264,165,000	1196 » 1197	835
1197	264,582,500	264,582,500	1197 » 1198	840
1198	265,002,500	265,002,500	1198 » 1199	840
1199	265,422,500	265,422,500	1199 » 1200	840
1200	265,842,500	265,842,500	1200 » 1201	840
1201	266,262,500	266,262,500	1201 » 1202	840
1202	266,682,500	266,682,500	1202 » 1203	840
1203	267,102,500	267,102,500	1203 » 1204	840
1204	267,522,500	267,522,500	1204 » 1205	840
1205	267,942,500	267,942,500	1205 » 1206	845
1206	268,365,000	268,365,000	1206 » 1207	845
1207	268,787,500	268,787,500	1207 » 1208	845
1208	269,210,000	269,210,000	1208 » 1209	845
1209	269,632,500	269,632,500	1209 » 1210	845
1210	270,055,000	270,055,000	1210 » 1211	845
1211	270,477,500	270,477,500	1211 » 1212	845
1212	270,900,000	270,900,000	1212 » 1213	845
1213	271,322,500	271,322,500	1213 » 1214	850
1214	271,747,500	271,747,500	1214 » 1215	850
1215	272,172,500	272,172,500	1215 » 1216	850
1216	272,597,500	272,597,500	1216 » 1217	850
1217	273,022,500	273,022,500	1217 » 1218	850
1218	273,447,500	273,447,500	1218 » 1219	850
1219	273,872,500	273,872,500	1219 » 1220	850
1220	274,297,500	274,297,500	1220 » 1221	850
1221	274,722,500	274,722,500	1221 » 1222	855
1222	275,150,000	275,150,000	1222 » 1223	855
1223	275,577,500	275,577,500	1223 » 1224	855
1224	276,005,000	276,005,000	1224 » 1225	855
1225	276,432,500	276,432,500	1225 » 1226	855
1226	276,860,000	276,860,000	1226 » 1227	855
1227	277,287,500	277,287,500	1227 » 1228	855
1228	277,715,000	277,715,000	1228 » 1229	855
1229	278,142,500	278,142,500	1229 » 1230	860
1230	278,572,500	278,572,500	1230 » 1231	860
1231	279,002,500	279,002,500	1231 » 1232	860
1232	279,432,500	279,432,500	1232 » 1233	860
1233	279,862,500	279,862,500	1233 » 1234	860
1234	280,292,500	280,292,500	1234 » 1235	860
1235	280,722,500	280,722,500	1235 » 1236	860
1236	281,152,500	281,152,500	1236 » 1237	860
1237	281,582,500	281,582,500	1237 » 1238	865
1238	282,015,000	282,015,000	1238 » 1239	865
1239	282,447,500	282,447,500	1239 » 1240	865
1240	282,880,000	282,880,000	1240 » 1241	865
1241	283,312,500	283,312,500	1241 » 1242	865
1242	283,745,000	283,745,000	1242 » 1243	865
1243	284,177,500	284,177,500	1243 » 1244	865
1244	284,610,000	284,610,000	1244 » 1245	865
1245	285,042,500	285,042,500	1245 » 1246	870
