Level	Dark Power	Castle Level	Upgrade Cost	Dark Regent
821	283,535,008	411	821 » 822	
822	284,151,008	411	822 » 823	
823	284,767,008	412	823 » 824	
824	285,390,016	412	824 » 825	
825	286,012,992	413	825 » 826	
826	286,636,000	413	826 » 827	
827	287,259,008	414	827 » 828	
828	287,881,984	414	828 » 829	
829	288,504,992	415	829 » 830	
830	289,128,000	415	830 » 831	
831	289,751,008	416	831 » 832	
832	290,374,016	416	832 » 833	
833	290,996,992	417	833 » 834	
834	291,620,000	417	834 » 835	
835	292,249,984	418	835 » 836	
836	292,880,000	418	836 » 837	
837	293,510,016	419	837 » 838	
838	294,140,000	419	838 » 839	
839	294,769,984	420	839 » 840	
840	295,400,000	420	840 » 841	
841	296,030,016	421	841 » 842	
842	296,660,000	421	842 » 843	
843	297,289,984	422	843 » 844	
844	297,920,000	422	844 » 845	
845	298,550,016	423	845 » 846	
846	299,180,000	423	846 » 847	
847	299,816,992	424	847 » 848	
848	300,454,016	424	848 » 849	
849	301,091,008	425	849 » 850	
850	301,728,000	425	850 » 851	
851	302,364,992	426	851 » 852	
852	303,001,984	426	852 » 853	
853	303,639,008	427	853 » 854	
854	304,276,000	427	854 » 855	
855	304,912,992	428	855 » 856	
856	305,550,016	428	856 » 857	
857	306,187,008	429	857 » 858	
858	306,824,000	429	858 » 859	
859	307,468,000	430	859 » 860	
860	308,112,000	430	860 » 861	
861	308,756,000	431	861 » 862	
862	309,400,000	431	862 » 863	
863	310,044,000	432	863 » 864	
864	310,688,000	432	864 » 865	
865	311,332,000	433	865 » 866	
866	311,976,000	433	866 » 867	
867	312,620,000	434	867 » 868	
868	313,264,000	434	868 » 869	
869	313,908,000	435	869 » 870	
870	314,552,000	435	870 » 871	
871	315,203,008	436	871 » 872	
872	315,854,016	436	872 » 873	
873	316,504,992	437	873 » 874	
874	317,156,000	437	874 » 875	
875	317,807,008	438	875 » 876	
876	318,457,984	438	876 » 877	
877	319,108,992	439	877 » 878	
878	319,760,000	439	878 » 879	
879	320,411,008	440	879 » 880	
880	321,062,016	440	880 » 881	
881	321,712,992	441	881 » 882	
882	322,364,000	441	882 » 883	
883	323,022,016	442	883 » 884	
884	323,680,000	442	884 » 885	
885	324,337,984	443	885 » 886	
886	324,996,000	443	886 » 887	
887	325,654,016	444	887 » 888	
888	326,312,000	444	888 » 889	
889	326,969,984	445	889 » 890	
890	327,628,000	445	890 » 891	
891	328,286,016	446	891 » 892	
892	328,944,000	446	892 » 893	
893	329,601,984	447	893 » 894	
894	330,267,008	447	894 » 895	
895	330,932,000	448	895 » 896	
896	331,596,992	448	896 » 897	
897	332,262,016	449	897 » 898	
898	332,927,008	449	898 » 899	
899	333,592,000	450	899 » 900	
900	334,256,992	450	900 » 901	
901	334,921,984	451	901 » 902	
902	335,587,008	451	902 » 903	
903	336,252,000	452	903 » 904	
904	336,916,992	452	904 » 905	
905	337,582,016	453	905 » 906	
906	338,254,016	453	906 » 907	
907	338,926,016	454	907 » 908	
908	339,598,016	454	908 » 909	
909	340,270,016	455	909 » 910	
910	340,942,016	455	910 » 911	
911	341,614,016	456	911 » 912	
912	342,286,016	456	912 » 913	
913	342,958,016	457	913 » 914	
914	343,630,016	457	914 » 915	
915	344,302,016	458	915 » 916	
916	344,974,016	458	916 » 917	
917	345,646,016	459	917 » 918	
918	346,324,992	459	918 » 919	
919	347,004,000	460	919 » 920	
920	347,683,008	460	920 » 921	
921	348,361,984	461	921 » 922	
922	349,040,992	461	922 » 923	
923	349,720,000	462	923 » 924	
924	350,399,008	462	924 » 925	
925	351,078,016	463	925 » 926	
926	351,756,992	463	926 » 927	
927	352,436,000	464	927 » 928	
928	353,115,008	464	928 » 929	
929	353,793,984	465	929 » 930	
930	354,480,000	465	930 » 931	
931	355,166,016	466	931 » 932	
932	355,852,000	466	932 » 933	
933	356,537,984	467	933 » 934	
934	357,224,000	467	934 » 935	
935	357,910,016	468	935 » 936	
936	358,596,000	468	936 » 937	
937	359,281,984	469	937 » 938	
938	359,968,000	469	938 » 939	
939	360,654,016	470	939 » 940	
940	361,340,000	470	940 » 941	
941	362,025,984	471	941 » 942	
942	362,719,008	471	942 » 943	
943	363,412,000	472	943 » 944	
944	364,104,992	472	944 » 945	
945	364,798,016	473	945 » 946	
946	365,491,008	473	946 » 947	
947	366,184,000	474	947 » 948	
948	366,876,992	474	948 » 949	
949	367,569,984	475	949 » 950	
950	368,263,008	475	950 » 951	
951	368,956,000	476	951 » 952	
952	369,648,992	476	952 » 953	
953	370,342,016	477	953 » 954	
954	371,041,984	477	954 » 955	
955	371,742,016	478	955 » 956	
956	372,441,984	478	956 » 957	
957	373,142,016	479	957 » 958	
958	373,841,984	479	958 » 959	
959	374,542,016	480	959 » 960	
960	375,241,984	480	960 » 961	
961	375,942,016	481	961 » 962	
962	376,641,984	481	962 » 963	
963	377,342,016	482	963 » 964	
964	378,041,984	482	964 » 965	
965	378,742,016	483	965 » 966	
966	379,448,992	483	966 » 967	
967	380,156,000	484	967 » 968	
968	380,863,008	484	968 » 969	
969	381,569,984	485	969 » 970	
970	382,276,992	485	970 » 971	
971	382,984,000	486	971 » 972	
972	383,691,008	486	972 » 973	
973	384,398,016	487	973 » 974	
974	385,104,992	487	974 » 975	
975	385,812,000	488	975 » 976	
976	386,519,008	488	976 » 977	
977	387,225,984	489	977 » 978	
978	387,940,000	489	978 » 979	
979	388,654,016	490	979 » 980	
980	389,368,000	490	980 » 981	
981	390,081,984	491	981 » 982	
982	390,796,000	491	982 » 983	
983	391,510,016	492	983 » 984	
984	392,224,000	492	984 » 985	
985	392,937,984	493	985 » 986	
986	393,652,000	493	986 » 987	
987	394,366,016	494	987 » 988	
988	395,080,000	494	988 » 989	
989	395,793,984	495	989 » 990	
990	396,508,000	495	990 » 991	
991	397,228,992	496	991 » 992	
992	397,950,016	496	992 » 993	
993	398,671,008	497	993 » 994	
994	399,392,000	497	994 » 995	
995	400,112,992	498	995 » 996	
996	400,833,984	498	996 » 997	
997	401,555,008	499	997 » 998	
998	402,276,000	499	998 » 999	
999	402,996,992	500	999 » 1000	
1000	403,718,016	500	1000 » 1001	
1001	404,439,008	501	1001 » 1002	
1002	405,160,000	501	1002 » 1003	
1003	405,888,000	502	1003 » 1004	
1004	406,616,000	502	1004 » 1005	
1005	407,344,000	503	1005 » 1006	
1006	408,072,000	503	1006 » 1007	
1007	408,800,000	504	1007 » 1008	
1008	409,528,000	504	1008 » 1009	
1009	410,256,000	505	1009 » 1010	
1010	410,984,000	505	1010 » 1011	
1011	411,712,000	506	1011 » 1012	
1012	412,440,000	506	1012 » 1013	
1013	413,168,000	507	1013 » 1014	
1014	413,896,000	507	1014 » 1015	
1015	414,631,008	508	1015 » 1016	
1016	415,366,016	508	1016 » 1017	
1017	416,100,992	509	1017 » 1018	
1018	416,836,000	509	1018 » 1019	
1019	417,571,008	510	1019 » 1020	
1020	418,305,984	510	1020 » 1021	
1021	419,040,992	511	1021 » 1022	
1022	419,776,000	511	1022 » 1023	
1023	420,511,008	512	1023 » 1024	
1024	421,246,016	512	1024 » 1025	
1025	421,980,992	513	1025 » 1026	
1026	422,716,000	513	1026 » 1027	
1027	423,457,984	514	1027 » 1028	
1028	424,200,000	514	1028 » 1029	
1029	424,942,016	515	1029 » 1030	
1030	425,684,000	515	1030 » 1031	
1031	426,425,984	516	1031 » 1032	
1032	427,168,000	516	1032 » 1033	
1033	427,910,016	517	1033 » 1034	
1034	428,652,000	517	1034 » 1035	
1035	429,393,984	518	1035 » 1036	
1036	430,136,000	518	1036 » 1037	
1037	430,878,016	519	1037 » 1038	
1038	431,620,000	519	1038 » 1039	
1039	432,368,992	520	1039 » 1040	
1040	433,118,016	520	1040 » 1041	
1041	433,867,008	521	1041 » 1042	
1042	434,616,000	521	1042 » 1043	
1043	435,364,992	522	1043 » 1044	
1044	436,113,984	522	1044 » 1045	
1045	436,863,008	523	1045 » 1046	
1046	437,612,000	523	1046 » 1047	
1047	438,360,992	524	1047 » 1048	
1048	439,110,016	524	1048 » 1049	
1049	439,859,008	525	1049 » 1050	
1050	440,608,000	525	1050 » 1051	
1051	441,356,992	526	1051 » 1052	
1052	442,112,992	526	1052 » 1053	
1053	442,868,992	527	1053 » 1054	
1054	443,624,992	527	1054 » 1055	
1055	444,380,992	528	1055 » 1056	
1056	445,136,992	528	1056 » 1057	
1057	445,892,992	529	1057 » 1058	
1058	446,648,992	529	1058 » 1059	
1059	447,404,992	530	1059 » 1060	
1060	448,160,992	530	1060 » 1061	
1061	448,916,992	531	1061 » 1062	
1062	449,672,992	531	1062 » 1063	
1063	450,428,992	532	1063 » 1064	
1064	451,192,000	532	1064 » 1065	
1065	451,955,008	533	1065 » 1066	
1066	452,718,016	533	1066 » 1067	
1067	453,480,992	534	1067 » 1068	
1068	454,244,000	534	1068 » 1069	
1069	455,007,008	535	1069 » 1070	
1070	455,769,984	535	1070 » 1071	
1071	456,532,992	536	1071 » 1072	
1072	457,296,000	536	1072 » 1073	
1073	458,059,008	537	1073 » 1074	
1074	458,822,016	537	1074 » 1075	
1075	459,584,992	538	1075 » 1076	
1076	460,355,008	538	1076 » 1077	
1077	461,124,992	539	1077 » 1078	
1078	461,895,008	539	1078 » 1079	
1079	462,664,992	540	1079 » 1080	
1080	463,435,008	540	1080 » 1081	
1081	464,204,992	541	1081 » 1082	
1082	464,975,008	541	1082 » 1083	
1083	465,744,992	542	1083 » 1084	
1084	466,515,008	542	1084 » 1085	
1085	467,284,992	543	1085 » 1086	
1086	468,055,008	543	1086 » 1087	
1087	468,824,992	544	1087 » 1088	
1088	469,595,008	544	1088 » 1089	
1089	470,372,000	545	1089 » 1090	
1090	471,148,992	545	1090 » 1091	
1091	471,926,016	546	1091 » 1092	
1092	472,703,008	546	1092 » 1093	
1093	473,480,000	547	1093 » 1094	
1094	474,256,992	547	1094 » 1095	
1095	475,033,984	548	1095 » 1096	
1096	475,811,008	548	1096 » 1097	
1097	476,588,000	549	1097 » 1098	
1098	477,364,992	549	1098 » 1099	
1099	478,142,016	550	1099 » 1100	
1100	478,919,008	550	1100 » 1101	
1101	479,703,008	551	1101 » 1102	
1102	480,487,008	551	1102 » 1103	
1103	481,271,008	552	1103 » 1104	
1104	482,055,008	552	1104 » 1105	
1105	482,839,008	553	1105 » 1106	
1106	483,623,008	553	1106 » 1107	
1107	484,407,008	554	1107 » 1108	
1108	485,191,008	554	1108 » 1109	
1109	485,975,008	555	1109 » 1110	
1110	486,759,008	555	1110 » 1111	
1111	487,543,008	556	1111 » 1112	
1112	488,327,008	556	1112 » 1113	
1113	489,118,016	557	1113 » 1114	
1114	489,908,992	557	1114 » 1115	
1115	490,700,000	558	1115 » 1116	
1116	491,491,008	558	1116 » 1117	
1117	492,281,984	559	1117 » 1118	
1118	493,072,992	559	1118 » 1119	
1119	493,864,000	560	1119 » 1120	
1120	494,655,008	560	1120 » 1121	
1121	495,446,016	561	1121 » 1122	
1122	496,236,992	561	1122 » 1123	
1123	497,028,000	562	1123 » 1124	
1124	497,819,008	562	1124 » 1125	
1125	498,609,984	563	1125 » 1126	
1126	499,408,000	563	1126 » 1127	
1127	500,206,016	564	1127 » 1128	
1128	501,004,000	564	1128 » 1129	
1129	501,801,984	565	1129 » 1130	
1130	502,600,000	565	1130 » 1131	
1131	503,398,016	566	1131 » 1132	
1132	504,196,000	566	1132 » 1133	
1133	504,993,984	567	1133 » 1134	
1134	505,792,000	567	1134 » 1135	
1135	506,590,016	568	1135 » 1136	
1136	507,388,000	568	1136 » 1137	
1137	508,185,984	569	1137 » 1138	
1138	508,991,008	569	1138 » 1139	
1139	509,796,000	570	1139 » 1140	
1140	510,600,992	570	1140 » 1141	
1141	511,406,016	571	1141 » 1142	
1142	512,211,008	571	1142 » 1143	
1143	513,016,000	572	1143 » 1144	
1144	513,820,992	572	1144 » 1145	
1145	514,625,984	573	1145 » 1146	
1146	515,431,008	573	1146 » 1147	
1147	516,236,000	574	1147 » 1148	
1148	517,040,992	574	1148 » 1149	
1149	517,846,016	575	1149 » 1150	
1150	518,651,008	575	1150 » 1151	
1151	519,463,008	576	1151 » 1152	
1152	520,275,008	576	1152 » 1153	
1153	521,087,008	577	1153 » 1154	
1154	521,899,008	577	1154 » 1155	
1155	522,711,005	578	1155 » 1156	
1156	523,523,008	578	1156 » 1157	
1157	524,335,008	579	1157 » 1158	
1158	525,147,008	579	1158 » 1159	
1159	525,959,008	580	1159 » 1160	
1160	526,771,008	580	1160 » 1161	
1161	527,583,008	581	1161 » 1162	24,100
1162	528,395,008	581	1162 » 1163	
1163	529,214,016	582	1163 » 1164	
1164	530,032,992	582	1164 » 1165	
1165	530,852,000	583	1165 » 1166	
1166	531,671,008	583	1166 » 1167	
1167	532,489,984	584	1167 » 1168	
1168	533,308,992	584	1168 » 1169	
1169	534,128,000	585	1169 » 1170	
1170	534,947,008	585	1170 » 1171	
1171	535,766,016	586	1171 » 1172	
1172	536,584,992	586	1172 » 1173	
1173	537,404,032	587	1173 » 1174	
1174	538,222,976	587	1174 » 1175	
1175	539,041,984	588	1175 » 1176	
1176	539,868,032	588	1176 » 1177	
1177	540,694,016	589	1177 » 1178	
1178	541,520,000	589	1178 » 1179	
1179	542,345,984	590	1179 » 1180	
1180	543,171,968	590	1180 » 1181	
1181	543,998,016	591	1181 » 1182	
1182	544,824,000	591	1182 » 1183	
1183	545,649,984	592	1183 » 1184	
1184	546,476,032	592	1184 » 1185	
1185	547,302,016	593	1185 » 1186	
1186	548,128,000	593	1186 » 1187	
1187	548,953,984	594	1187 » 1188	
1188	549,787,008	594	1188 » 1189	
1189	550,620,032	595	1189 » 1190	
1190	551,452,992	595	1190 » 1191	
1191	552,286,016	596	1191 » 1192	
1192	553,118,976	596	1192 » 1193	
1193	553,952,000	597	1193 » 1194	
1194	554,785,024	597	1194 » 1195	
1195	555,617,984	598	1195 » 1196	
1196	556,451,008	598	1196 » 1197	
1197	557,283,968	599	1197 » 1198	
1198	558,116,992	599	1198 » 1199	
1199	558,950,016	600	1199 » 1200	
1200	559,782,976	600	1200 » 1201	
1201	560,622,976	601	1201 » 1202	
1202	561,462,976	601	1202 » 1203	
1203	562,302,976	602	1203 » 1204	
1204	563,142,976	602	1204 » 1205	
1205	563,982,976	603	1205 » 1206	
1206	564,822,976	603	1206 » 1207	
1207	565,662,976	604	1207 » 1208	
1208	566,502,976	604	1208 » 1209	
1209	567,342,976	605	1209 » 1210	
1210	568,182,976	605	1210 » 1211	
1211	569,022,976	606	1211 » 1212	
1212	569,862,976	606	1212 » 1213	
1213	570,702,976	607	1213 » 1214	
1214	571,550,016	607	1214 » 1215	
1215	572,396,992	608	1215 » 1216	
1216	573,244,032	608	1216 » 1217	
1217	574,091,008	609	1217 » 1218	
1218	574,937,984	609	1218 » 1219	
1219	575,785,024	610	1219 » 1220	
1220	576,632,000	610	1220 » 1221	
1221	577,478,976	611	1221 » 1222	
1222	578,326,016	611	1222 » 1223	
1223	579,172,992	612	1223 » 1224	
1224	580,019,968	612	1224 » 1225	
1225	580,867,008	613	1225 » 1226	
1226	581,721,024	613	1226 » 1227	
1227	582,574,976	614	1227 » 1228	
1228	583,428,992	614	1228 » 1229	
1229	584,283,008	615	1229 » 1230	
1230	585,137,024	615	1230 » 1231	
1231	585,990,976	616	1231 » 1232	
1232	586,844,992	616	1232 » 1233	
1233	587,699,008	617	1233 » 1234	
1234	588,553,024	617	1234 » 1235	
1235	589,406,976	618	1235 » 1236	
1236	590,260,992	618	1236 » 1237	
1237	591,115,008	619	1237 » 1238	
1238	591,969,024	619	1238 » 1239	
1239	592,830,016	620	1239 » 1240	
1240	593,691,008	620	1240 » 1241	
1241	594,552,000	621	1241 » 1242	
1242	595,412,992	621	1242 » 1243	
1243	596,273,984	622	1243 » 1244	
1244	597,134,976	622	1244 » 1245	
1245	597,996,032	623	1245 » 1246	
1246	598,857,024	623	1246 » 1247	
1247	599,718,016	624	1247 » 1248	
1248	600,579,008	624	1248 » 1249	
1249	601,440,000	625	1249 » 1250	
1250	602,300,992	625	1250 » 1251	
1251	603,161,984	626	1251 » 1252	
1252	604,030,016	626	1252 » 1253	
1253	604,897,984	627	1253 » 1254	
1254	605,766,016	627	1254 » 1255	
1255	606,633,984	628	1255 » 1256	
1256	607,502,016	628	1256 » 1257	
1257	608,369,984	629	1257 » 1258	
1258	609,238,016	629	1258 » 1259	
1259	610,105,984	630	1259 » 1260	
1260	610,974,016	630	1260 » 1261	
1261	611,841,984	631	1261 » 1262	
1262	612,710,016	631	1262 » 1263	
1263	613,577,984	632	1263 » 1264	
1264	614,452,992	632	1264 » 1265	
1265	615,328,000	633	1265 » 1266	
1266	616,203,008	633	1266 » 1267	
1267	617,078,016	634	1267 » 1268	
1268	617,953,024	634	1268 » 1269	
1269	618,828,032	635	1269 » 1270	
1270	619,702,976	635	1270 » 1271	
1271	620,577,984	636	1271 » 1272	
1272	621,452,992	636	1272 » 1273	
1273	622,328,000	637	1273 » 1274	
1274	623,203,008	637	1274 » 1275	
1275	624,078,016	638	1275 » 1276	
1276	624,953,024	638	1276 » 1277	
1277	625,835,008	639	1277 » 1278	
1278	626,716,992	639	1278 » 1279	
1279	627,598,976	640	1279 » 1280	
1280	628,481,024	640	1280 » 1281	
1281	629,363,008	641	1281 » 1282	
1282	630,244,992	641	1282 » 1283	
1283	631,126,976	642	1283 » 1284	
1284	632,009,024	642	1284 » 1285	
1285	632,891,008	643	1285 » 1286	
1286	633,772,992	643	1286 » 1287	
1287	634,654,976	644	1287 » 1288	
1288	635,537,024	644	1288 » 1289	
1289	636,419,008	645	1289 » 1290	
1290	637,308,032	645	1290 » 1291	
1291	638,196,992	646	1291 » 1292	
1292	639,086,016	646	1292 » 1293	
1293	639,974,976	647	1293 » 1294	
1294	640,864,000	647	1294 » 1295	
1295	641,753,024	648	1295 » 1296	
1296	642,641,986	648	1296 » 1297	
1297	643,531,008	649	1297 » 1298	
1298	644,419,968	649	1298 » 1299	
1299	645,308,992	650	1299 » 1300	
1300	646,198,016	650	1300 » 1301	
1301	647,086,976	651	1301 » 1302	
1302	647,976,000	651	1302 » 1303	
1303	648,872,000	652	1303 » 1304	
1304	649,768,000	652	1304 » 1305	
1305	650,664,000	653	1305 » 1306	
1306	651,560,000	653	1306 » 1307	
1307	652,456,000	654	1307 » 1308	
1308	653,352,000	654	1308 » 1309	
1309	654,248,000	655	1309 » 1310	
1310	655,144,000	655	1310 » 1311	
1311	656,040,000	656	1311 » 1312	
1312	656,936,000	656	1312 » 1313	
1313	657,832,000	657	1313 » 1314	
1314	658,728,000	657	1314 » 1315	
1315	659,630,976	658	1315 » 1316	
1316	660,534,016	658	1316 » 1317	
1317	661,436,992	659	1317 » 1318	
1318	662,339,968	659	1318 » 1319	
1319	663,243,008	660	1319 » 1320	
1320	664,145,984	660	1320 » 1321	
1321	665,049,024	661	1321 » 1322	
1322	665,952,000	661	1322 » 1323	
1323	666,854,976	662	1323 » 1324	
1324	667,758,016	662	1324 » 1325	
1325	668,660,992	663	1325 » 1326	
1326	669,564,032	663	1326 » 1327	
1327	670,467,008	664	1327 » 1328	
1328	671,377,024	664	1328 » 1329	
1329	672,286,976	665	1329 » 1330	
1330	673,196,992	665	1330 » 1331	
1331	674,107,008	666	1331 » 1332	
1332	675,017,024	666	1332 » 1333	
1333	675,926,976	667	1333 » 1334	
1334	676,836,992	667	1334 » 1335	
1335	677,747,008	668	1335 » 1336	
1336	678,657,024	668	1336 » 1337	
1337	679,566,976	669	1337 » 1338	
1338	680,476,992	669	1338 » 1339	
1339	681,387,008	670	1339 » 1340	
1340	682,297,024	670	1340 » 1341	
1341	683,214,016	671	1341 » 1342	
1342	684,131,008	671	1342 » 1343	
1343	685,048,000	672	1343 » 1344	
1344	685,964,992	672	1344 » 1345	
1345	686,881,984	673	1345 » 1346	
1346	687,798,976	673	1346 » 1347	
1347	688,716,032	674	1347 » 1348	
1348	689,633,024	674	1348 » 1349	
1349	690,550,016	675	1349 » 1350	
1350	691,467,008	675	1350 » 1351	
1351	692,384,000	676	1351 » 1352	
1352	693,300,992	676	1352 » 1353	
1353	694,217,984	677	1353 » 1354	
1354	695,142,016	677	1354 » 1355	
1355	696,065,984	678	1355 » 1356	
1356	696,990,016	678	1356 » 1357	
1357	697,913,984	679	1357 » 1358	
1358	698,838,016	679	1358 » 1359	
1359	699,761,984	680	1359 » 1360	
1360	700,686,016	680	1360 » 1361	
1361	701,609,984	681	1361 » 1362	
1362	702,534,016	681	1362 » 1363	
1363	703,457,984	682	1363 » 1364	
1364	704,382,016	682	1364 » 1365	
1365	705,305,984	683	1365 » 1366	
1366	706,230,016	683	1366 » 1367	
1367	707,161,024	684	1367 » 1368	
1368	708,092,032	684	1368 » 1369	
1369	709,022,976	685	1369 » 1370	
1370	709,953,984	685	1370 » 1371	
1371	710,884,992	686	1371 » 1372	
1372	711,816,000	686	1372 » 1373	
1373	712,747,008	687	1373 » 1374	
1374	713,678,016	687	1374 » 1375	
1375	714,609,024	688	1375 » 1376	
1376	715,539,968	688	1376 » 1377	
1377	716,470,976	689	1377 » 1378	
1378	717,401,984	689	1378 » 1379	
1379	718,332,992	690	1379 » 1380	
1380	719,270,976	690	1380 » 1381	
1381	720,209,024	691	1381 » 1382	
1382	721,147,008	691	1382 » 1383	
1383	722,084,992	692	1383 » 1384	
1384	723,022,976	692	1384 » 1385	
1385	723,961,024	693	1385 » 1386	
1386	724,899,008	693	1386 » 1387	
1387	725,836,992	694	1387 » 1388	
1388	726,774,976	694	1388 » 1389	
1389	727,713,024	695	1389 » 1390	
1390	728,651,008	695	1390 » 1391	
1391	729,588,992	696	1391 » 1392	
1392	730,526,976	696	1392 » 1393	
1393	731,472,000	697	1393 » 1394	
1394	732,417,024	697	1394 » 1395	
1395	733,361,984	698	1395 » 1396	
1396	734,307,008	698	1396 » 1397	
1397	735,251,968	699	1397 » 1398	
1398	736,196,992	699	1398 » 1399	
1399	737,142,016	700	1399 » 1400	
1400	738,086,976	700	1400 » 1401	
1401	739,032,000	701	1401 » 1402	
1402	739,977,024	701	1402 » 1403	
1403	740,921,984	702	1403 » 1404	
1404	741,867,008	702	1404 » 1405	
1405	742,812,032	703	1405 » 1406	
1406	743,763,968	703	1406 » 1407	
1407	744,716,032	704	1407 » 1408	
1408	745,667,968	704	1408 » 1409	
1409	746,620,032	705	1409 » 1410	
1410	747,571,968	705	1410 » 1411	
1411	748,524,032	706	1411 » 1412	
1412	749,475,968	706	1412 » 1413	
1413	750,428,032	707	1413 » 1414	
1414	751,379,968	707	1414 » 1415	
1415	752,332,032	708	1415 » 1416	
1416	753,283,968	708	1416 » 1417	
1417	754,236,032	709	1417 » 1418	
1418	755,187,968	709	1418 » 1419	
1419	756,147,008	710	1419 » 1420	
1420	757,105,984	710	1420 » 1421	
1421	758,065,024	711	1421 » 1422	
1422	759,024,000	711	1422 » 1423	
1423	759,982,976	712	1423 » 1424	
1424	760,942,016	712	1424 » 1425	
1425	761,900,992	713	1425 » 1426	
1426	762,860,032	713	1426 » 1427	
1427	763,819,008	714	1427 » 1428	
1428	764,777,984	714	1428 » 1429	
1429	765,737,024	715	1429 » 1430	
1430	766,696,000	715	1430 » 1431	
1431	767,654,976	716	1431 » 1432	
1432	768,620,992	716	1432 » 1433	
1433	769,587,008	717	1433 » 1434	
1434	770,553,024	717	1434 » 1435	
1435	771,518,976	718	1435 » 1436	
1436	772,484,992	718	1436 » 1437	
1437	773,451,008	719	1437 » 1438	
1438	774,417,024	719	1438 » 1439	
1439	775,382,976	720	1439 » 1440	
1440	776,348,992	720	1440 » 1441	
1441	777,315,008	721	1441 » 1442	
1442	778,281,024	721	1442 » 1443	
1443	779,246,976	722	1443 » 1444	
1444	780,212,992	722	1444 » 1445	
1445	781,185,984	723	1445 » 1446	
1446	782,158,976	723	1446 » 1447	
1447	783,132,032	724	1447 » 1448	
1448	784,105,024	724	1448 » 1449	
1449	785,078,016	725	1449 » 1450	
1450	786,051,008	725	1450 » 1451	
1451	787,024,000	726	1451 » 1452	
1452	787,996,992	726	1452 » 1453	
1453	788,969,984	727	1453 » 1454	
1454	789,942,976	727	1454 » 1455	
1455	790,915,968	728	1455 » 1456	
1456	791,889,024	728	1456 » 1457	
1457	792,862,016	729	1457 » 1458	
1458	793,841,984	729	1458 » 1459	
1459	794,822,016	730	1459 » 1460	
1460	795,801,984	730	1460 » 1461	
1461	796,782,016	731	1461 » 1462	
1462	797,761,984	731	1462 » 1463	
1463	798,742,016	732	1463 » 1464	
1464	799,721,984	732	1464 » 1465	
1465	800,702,016	733	1465 » 1466	
1466	801,681,984	733	1466 » 1467	
1467	802,662,016	734	1467 » 1468	
1468	803,641,984	734	1468 » 1469	
1469	804,622,016	735	1469 » 1470	
1470	805,601,984	735	1470 » 1471	
1471	806,588,992	736	1471 » 1472	
1472	807,576,000	736	1472 » 1473	
1473	808,563,008	737	1473 » 1474	
1474	809,550,016	737	1474 » 1475	
1475	810,537,024	738	1475 » 1476	
1476	811,523,968	738	1476 » 1477	
1477	812,510,976	739	1477 » 1478	
1478	813,497,984	739	1478 » 1479	
1479	814,484,992	740	1479 » 1480	
1480	815,472,000	740	1480 » 1481	
1481	816,459,008	741	1481 » 1482	
1482	817,446,016	741	1482 » 1483	
1483	818,433,024	742	1483 » 1484	
1484	819,420,032	742	1484 » 1485	
1485	820,414,016	743	1485 » 1486	
1486	821,408,000	743	1486 » 1487	
1487	822,401,984	744	1487 » 1488	
1488	823,395,968	744	1488 » 1489	
1489	824,390,016	745	1489 » 1490	
1490	825,384,000	745	1490 » 1491	
1491	826,377,984	746	1491 » 1492	
1492	827,372,032	746	1492 » 1493	
1493	828,366,016	747	1493 » 1494	
1494	829,360,000	747	1494 » 1495	
1495	830,353,984	748	1495 » 1496	
1496	831,347,968	748	1496 » 1497	
1497	832,342,016	749	1497 » 1498	
1498	833,342,976	749	1498 » 1499	
1499	834,344,000	750	1499 » 1500	
1500	835,345,024	750	1500 » 1501	
1501	836,345,984	751	1501 » 1502	
1502	837,347,008	751	1502 » 1503	
1503	838,348,032	752	1503 » 1504	
1504	839,348,992	752	1504 » 1505	
1505	840,350,016	753	1505 » 1506	
1506	841,350,976	753	1506 » 1507	
1507	842,352,000	754	1507 » 1508	
1508	843,353,024	754	1508 » 1509	
1509	844,353,984	755	1509 » 1510	
1510	845,355,008	755	1510 » 1511	
1511	846,363,008	756	1511 » 1512	
1512	847,371,008	756	1512 » 1513	
1513	848,379,008	757	1513 » 1514	
1514	849,387,008	757	1514 » 1515	
1515	850,395,008	758	1515 » 1516	
1516	851,403,008	758	1516 » 1517	
1517	852,411,008	759	1517 » 1518	
1518	853,419,008	759	1518 » 1519	
1519	854,427,008	760	1519 » 1520	
1520	855,435,008	760	1520 » 1521	
1521	856,443,008	761	1521 » 1522	
1522	857,451,008	761	1522 » 1523	
1523	858,459,008	762	1523 » 1524	
1524	859,473,984	762	1524 » 1525	
1525	860,489,024	763	1525 » 1526	
1526	861,504,000	763	1526 » 1527	
1527	862,518,976	764	1527 » 1528	
1528	863,534,016	764	1528 » 1529	
1529	864,548,992	765	1529 » 1530	
1530	865,564,032	765	1530 » 1531	
1531	866,579,008	766	1531 » 1532	
1532	867,593,984	766	1532 » 1533	
1533	868,609,024	767	1533 » 1534	
1534	869,624,000	767	1534 » 1535	
1535	870,638,976	768	1535 » 1536	
1536	871,654,016	768	1536 » 1537	
1537	872,675,968	769	1537 » 1538	
1538	873,697,984	769	1538 » 1539	
1539	874,720,000	770	1539 » 1540	
1540	875,742,016	770	1540 » 1541	
1541	876,764,032	771	1541 » 1542	
1542	877,785,984	771	1542 » 1543	
1543	878,808,000	772	1543 » 1544	
1544	879,830,016	772	1544 » 1545	
1545	880,851,968	773	1545 » 1546	
