Level	Light Power	Light Power (calculated)	Upgrade	Regent	Regent (Est.)
611	167,104,000	167,104,000	611 » 612	350	
612	167,594,000	167,594,000	612 » 613	350	
613	168,084,000	168,084,000	613 » 614	350	
614	168,574,000	168,574,000	614 » 615	350	
615	169,064,000	169,064,000	615 » 616	350	
616	169,554,000	169,554,000	616 » 617	350	
617	170,044,000	170,044,000	617 » 618	350	
618	170,534,000	170,534,000	618 » 619	355	
619	171,031,008	171,031,000	619 » 620	355	
620	171,528,000	171,528,000	620 » 621	355	
621	172,024,992	172,025,000	621 » 622	355	
622	172,522,000	172,522,000	622 » 623	355	
623	173,019,008	173,019,000	623 » 624	355	
624	173,516,000	173,516,000	624 » 625	355	
625	174,012,992	174,013,000	625 » 626	355	
626	174,510,000	174,510,000	626 » 627	355	
627	175,007,008	175,007,000	627 » 628	355	
628	175,504,000	175,504,000	628 » 629	355	
629	176,000,992	176,001,000	629 » 630	360	
630	176,504,992	176,505,000	630 » 631	360	
631	177,008,992	177,009,000	631 » 632	360	
632	177,512,992	177,513,000	632 » 633	360	
633	178,016,992	178,017,000	633 » 634	360	
634	178,520,992	178,521,000	634 » 635	360	
635	179,024,992	179,025,000	635 » 636	360	
636	179,528,992	179,529,000	636 » 637	360	
637	180,032,992	180,033,000	637 » 638	360	
638	180,536,992	180,537,000	638 » 639	360	
639	181,040,992	181,041,000	639 » 640	360	
640	181,544,992	181,545,000	640 » 641	365	
641	182,056,000	182,056,000	641 » 642	365	
642	182,567,008	182,567,000	642 » 643	365	
643	183,078,000	183,078,000	643 » 644	365	
644	183,588,992	183,589,000	644 » 645	365	
645	184,100,000	184,100,000	645 » 646	365	
646	184,611,008	184,611,000	646 » 647	365	
647	185,122,000	185,122,000	647 » 648	365	
648	185,632,992	185,633,000	648 » 649	365	
649	186,144,000	186,144,000	649 » 650	365	
650	186,655,008	186,655,000	650 » 651	365	
651	187,166,000	187,166,000	651 » 652	370	
652	187,684,000	187,684,000	652 » 653	370	
653	188,202,000	188,202,000	653 » 654	370	
654	188,720,000	188,720,000	654 » 655	370	
655	189,238,000	189,238,000	655 » 656	370	
656	189,756,000	189,756,000	656 » 657	370	
657	190,274,000	190,274,000	657 » 658	370	
658	190,792,000	190,792,000	658 » 659	370	
659	191,310,000	191,310,000	659 » 660	370	
660	191,828,000	191,828,000	660 » 661	370	
661	192,346,000	192,346,000	661 » 662	370	
662	192,864,000	192,864,000	662 » 663	375	
663	193,388,992	193,389,000	663 » 664	375	
664	193,914,000	193,914,000	664 » 665	375	
665	194,439,008	194,439,000	665 » 666	375	
666	194,964,000	194,964,000	666 » 667	375	
667	195,488,992	195,489,000	667 » 668	375	
668	196,014,000	196,014,000	668 » 669	375	
669	196,539,008	196,539,000	669 » 670	375	
670	197,064,000	197,064,000	670 » 671	375	
671	197,588,992	197,589,000	671 » 672	375	
672	198,114,000	198,114,000	672 » 673	375	
673	198,639,008	198,639,000	673 » 674	375	
674	199,164,000	199,164,000	674 » 675	380	
675	199,696,000	199,696,000	675 » 676	380	
676	200,228,000	200,228,000	676 » 677	380	
677	200,760,000	200,760,000	677 » 678	380	
678	201,292,000	201,292,000	678 » 679	380	
679	201,824,000	201,824,000	679 » 680	380	
680	202,356,000	202,356,000	680 » 681	380	
681	202,888,000	202,888,000	681 » 682	380	
682	203,420,000	203,420,000	682 » 683	380	
683	203,952,000	203,952,000	683 » 684	380	
684	204,484,000	204,484,000	684 » 685	380	
685	205,016,000	205,016,000	685 » 686	385	
686	205,555,008	205,555,000	686 » 687	385	
687	206,094,000	206,094,000	687 » 688	385	
688	206,632,992	206,633,000	688 » 689	385	
689	207,172,000	207,172,000	689 » 690	385	
690	207,711,008	207,711,000	690 » 691	385	
691	208,250,000	208,250,000	691 » 692	385	
692	208,788,992	208,789,000	692 » 693	385	
693	209,328,000	209,328,000	693 » 694	385	
694	209,867,008	209,867,000	694 » 695	385	
695	210,406,000	210,406,000	695 » 696	385	
696	210,944,992	210,945,000	696 » 697	390	
697	211,491,008	211,491,000	697 » 698	390	
698	212,036,992	212,037,000	698 » 699	390	
699	212,583,008	212,583,000	699 » 700	390	
700	213,128,992	213,129,000	700 » 701	390	
701	213,675,008	213,675,000	701 » 702	390	
702	214,220,992	214,221,000	702 » 703	390	
703	214,767,008	214,767,000	703 » 704	390	
704	215,312,992	215,313,000	704 » 705	390	
705	215,859,008	215,859,000	705 » 706	390	
706	216,404,992	216,405,000	706 » 707	390	
707	216,951,008	216,951,000	707 » 708	395	
708	217,504,000	217,504,000	708 » 709	395	
709	218,056,992	218,057,000	709 » 710	395	
710	218,610,000	218,610,000	710 » 711	395	
711	219,163,008	219,163,000	711 » 712	395	
712	219,716,000	219,716,000	712 » 713	395	
713	220,268,992	220,269,000	713 » 714	395	
714	220,822,000	220,822,000	714 » 715	395	
715	221,375,008	221,375,000	715 » 716	395	
716	221,928,000	221,928,000	716 » 717	395	
717	222,480,992	222,481,000	717 » 718	395	
718	223,034,000	223,034,000	718 » 719	395	
719	223,587,008	223,587,000	719 » 720	400	
720	224,147,008	224,147,000	720 » 721	400	
721	224,707,008	224,707,000	721 » 722	400	
722	225,267,008	225,267,000	722 » 723	400	
723	225,827,008	225,827,000	723 » 724	400	
724	226,387,008	226,387,000	724 » 725	400	
725	226,947,008	226,947,000	725 » 726	400	
726	227,507,008	227,507,000	726 » 727	400	
727	228,067,008	228,067,000	727 » 728	400	
728	228,627,008	228,627,000	728 » 729	400	
729	229,187,008	229,187,000	729 » 730	400	
730	229,747,008	229,747,000	730 » 731	405	
731	230,314,000	230,314,000	731 » 732	405	
732	230,880,992	230,881,000	732 » 733	405	
733	231,448,000	231,448,000	733 » 734	405	
734	232,015,008	232,015,000	734 » 735	405	
735	232,582,000	232,582,000	735 » 736	405	
736	233,148,992	233,149,000	736 » 737	405	
737	233,716,000	233,716,000	737 » 738	405	
738	234,283,008	234,283,000	738 » 739	405	
739	234,850,000	234,850,000	739 » 740	405	
740	235,416,992	235,417,000	740 » 741	405	
741	235,984,000	235,984,000	741 » 742	405	
742	236,551,008	236,551,000	742 » 743	410	
743	237,124,992	237,125,000	743 » 744	410	
744	237,699,008	237,699,000	744 » 745	410	
745	238,272,992	238,273,000	745 » 746	410	
746	238,847,008	238,847,000	746 » 747	410	
747	239,420,992	239,421,000	747 » 748	410	
748	239,995,008	239,995,000	748 » 749	410	
749	240,568,992	240,569,000	749 » 750	410	
750	241,143,008	241,143,000	750 » 751	410	
751	241,716,992	241,717,000	751 » 752	410	
752	242,291,008	242,291,000	752 » 753	410	
753	242,864,992	242,865,000	753 » 754	415	
754	243,446,000	243,446,000	754 » 755	415	
755	244,027,008	244,027,000	755 » 756	415	
756	244,608,000	244,608,000	756 » 757	415	
757	245,188,992	245,189,000	757 » 758	415	
758	245,770,000	245,770,000	758 » 759	415	
759	246,351,008	246,351,000	759 » 760	415	
760	246,932,000	246,932,000	760 » 761	415	
761	247,512,992	247,513,000	761 » 762	415	
762	248,094,000	248,094,000	762 » 763	415	
763	248,675,008	248,675,000	763 » 764	415	
764	249,256,000	249,256,000	764 » 765	415	
765	249,836,992	249,837,000	765 » 766	420	
766	250,424,992	250,425,000	766 » 767	420	
767	251,012,992	251,013,000	767 » 768	420	
768	251,600,992	251,601,000	768 » 769	420	
769	252,188,992	252,189,000	769 » 770	420	
770	252,776,992	252,777,000	770 » 771	420	
771	253,364,992	253,365,000	771 » 772	420	
772	253,952,992	253,953,000	772 » 773	420	
773	254,540,992	254,541,000	773 » 774	420	
774	255,128,992	255,129,000	774 » 775	420	
775	255,716,992	255,717,000	775 » 776	420	
776	256,304,992	256,305,000	776 » 777	425	
777	256,900,000	256,900,000	777 » 778	425	
778	257,495,008	257,495,000	778 » 779	425	
779	258,090,000	258,090,000	779 » 780	425	
780	258,684,992	258,685,000	780 » 781	425	
781	259,280,000	259,280,000	781 » 782	425	
782	259,875,008	259,875,000	782 » 783	425	
783	260,470,000	260,470,000	783 » 784	425	
784	261,064,992	261,065,000	784 » 785	425	
785	261,660,000	261,660,000	785 » 786	425	
786	262,255,008	262,255,000	786 » 787	425	
787	262,850,000	262,850,000	787 » 788	425	
788	263,444,992	263,445,000	788 » 789	430	
789	264,047,008	264,047,000	789 » 790	430	
790	264,648,992	264,649,000	790 » 791	430	
791	265,251,008	265,251,000	791 » 792	430	
792	265,852,992	265,853,000	792 » 793	430	
793	266,455,008	266,455,000	793 » 794	430	
794	267,056,992	267,057,000	794 » 795	430	
795	267,659,008	267,659,000	795 » 796	430	
796	268,260,992	268,261,000	796 » 797	430	
797	268,863,008	268,863,000	797 » 798	430	
798	269,464,992	269,465,000	798 » 799	430	
799	270,067,008	270,067,000	799 » 800	435	
800	270,676,000	270,676,000	800 » 801	435	
801	271,284,992	271,285,000	801 » 802	435	
802	271,894,016	271,894,000	802 » 803	435	
803	272,503,008	272,503,000	803 » 804	435	
804	273,112,000	273,112,000	804 » 805	435	
805	273,720,992	273,721,000	805 » 806	435	
806	274,329,984	274,330,000	806 » 807	435	
807	274,939,008	274,939,000	807 » 808	435	
808	275,548,000	275,548,000	808 » 809	435	
809	276,156,992	276,157,000	809 » 810	435	
810	276,766,016	276,766,000	810 » 811	435	
811	277,375,008	277,375,000	811 » 812	440	
812	277,991,008	277,991,000	812 » 813	440	
813	278,607,008	278,607,000	813 » 814	440	
814	279,223,008	279,223,000	814 » 815	440	
815	279,839,008	279,839,000	815 » 816	440	
816	280,455,008	280,455,000	816 » 817	440	
817	281,071,008	281,071,000	817 » 818	440	
818	281,687,008	281,687,000	818 » 819	440	
819	282,303,008	282,303,000	819 » 820	440	
820	282,919,008	282,919,000	820 » 821	440	
821	283,535,008	283,535,000	821 » 822	440	
822	284,151,008	284,151,000	822 » 823	440	
823	284,767,008	284,767,000	823 » 824	445	
824	285,390,016	285,390,000	824 » 825	445	
825	286,012,992	286,013,000	825 » 826	445	
826	286,636,000	286,636,000	826 » 827	445	
827	287,259,008	287,259,000	827 » 828	445	
828	287,881,984	287,882,000	828 » 829	445	
829	288,504,992	288,505,000	829 » 830	445	
830	289,128,000	289,128,000	830 » 831	445	
831	289,751,008	289,751,000	831 » 832	445	
832	290,374,016	290,374,000	832 » 833	445	
833	290,996,992	290,997,000	833 » 834	445	
834	291,620,000	291,620,000	834 » 835	450	
835	292,249,984	292,250,000	835 » 836	450	
836	292,880,000	292,880,000	836 » 837	450	
837	293,510,016	293,510,000	837 » 838	450	
838	294,140,000	294,140,000	838 » 839	450	
839	294,769,984	294,770,000	839 » 840	450	
840	295,400,000	295,400,000	840 » 841	450	
841	296,030,016	296,030,000	841 » 842	450	
842	296,660,000	296,660,000	842 » 843	450	
843	297,289,984	297,290,000	843 » 844	450	
844	297,920,000	297,920,000	844 » 845	450	
845	298,550,016	298,550,000	845 » 846	450	
846	299,180,000	299,180,000	846 » 847	455	
847	299,816,992	299,817,000	847 » 848	455	
848	300,454,016	300,454,000	848 » 849	455	
849	301,091,008	301,091,000	849 » 850	455	
850	301,728,000	301,728,000	850 » 851	455	
851	302,364,992	302,365,000	851 » 852	455	
852	303,001,984	303,002,000	852 » 853	455	
853	303,639,008	303,639,000	853 » 854	455	
854	304,276,000	304,276,000	854 » 855	455	
855	304,912,992	304,913,000	855 » 856	455	
856	305,550,016	305,550,000	856 » 857	455	
857	306,187,008	306,187,000	857 » 858	455	
858	306,824,000	306,824,000	858 » 859	460	
859	307,468,000	307,468,000	859 » 860	460	
860	308,112,000	308,112,000	860 » 861	460	
861	308,756,000	308,756,000	861 » 862	460	
862	309,400,000	309,400,000	862 » 863	460	
863	310,044,000	310,044,000	863 » 864	460	
864	310,688,000	310,688,000	864 » 865	460	
865	311,332,000	311,332,000	865 » 866	460	
866	311,976,000	311,976,000	866 » 867	460	
867	312,620,000	312,620,000	867 » 868	460	
868	313,264,000	313,264,000	868 » 869	460	
869	313,908,000	313,908,000	869 » 870	460	
870	314,552,000	314,552,000	870 » 871	465	
871	315,203,008	315,203,000	871 » 872	465	
872	315,854,016	315,854,000	872 » 873	465	
873	316,504,992	316,505,000	873 » 874	465	
874	317,156,000	317,156,000	874 » 875	465	
875	317,807,008	317,807,000	875 » 876	465	
876	318,457,984	318,458,000	876 » 877	465	
877	319,108,992	319,109,000	877 » 878	465	
878	319,760,000	319,760,000	878 » 879	465	
879	320,411,008	320,411,000	879 » 880	465	
880	321,062,016	321,062,000	880 » 881	465	
881	321,712,992	321,713,000	881 » 882	465	
882	322,364,000	322,364,000	882 » 883	470	
883	323,022,016	323,022,000	883 » 884	470	
884	323,680,000	323,680,000	884 » 885	470	
885	324,337,984	324,338,000	885 » 886	470	
886	324,996,000	324,996,000	886 » 887	470	
887	325,654,016	325,654,000	887 » 888	470	
888	326,312,000	326,312,000	888 » 889	470	
889	326,969,984	326,970,000	889 » 890	470	
890	327,628,000	327,628,000	890 » 891	470	
891	328,286,016	328,286,000	891 » 892	470	
892	328,944,000	328,944,000	892 » 893	470	
893	329,601,984	329,602,000	893 » 894	475	
894	330,267,008	330,267,000	894 » 895	475	
895	330,932,000	330,932,000	895 » 896	475	
896	331,596,992	331,597,000	896 » 897	475	
897	332,262,016	332,262,000	897 » 898	475	
898	332,927,008	332,927,000	898 » 899	475	
899	333,592,000	333,592,000	899 » 900	475	
900	334,256,992	334,257,000	900 » 901	475	
901	334,921,984	334,922,000	901 » 902	475	
902	335,587,008	335,587,000	902 » 903	475	
903	336,252,000	336,252,000	903 » 904	475	
904	336,916,992	336,917,000	904 » 905	475	
905	337,582,016	337,582,000	905 » 906	480	
906	338,254,016	338,254,000	906 » 907	480	
907	338,926,016	338,926,000	907 » 908	480	
908	339,598,016	339,598,000	908 » 909	480	
909	340,270,016	340,270,000	909 » 910	480	
910	340,942,016	340,942,000	910 » 911	480	
911	341,614,016	341,614,000	911 » 912	480	
912	342,286,016	342,286,000	912 » 913	480	
913	342,958,016	342,958,000	913 » 914	480	
914	343,630,016	343,630,000	914 » 915	480	
915	344,302,016	344,302,000	915 » 916	480	
916	344,974,016	344,974,000	916 » 917	480	
917	345,646,016	345,646,000	917 » 918	485	
918	346,324,992	346,325,000	918 » 919	485	
919	347,004,000	347,004,000	919 » 920	485	
920	347,683,008	347,683,000	920 » 921	485	
921	348,361,984	348,362,000	921 » 922	485	
922	349,040,992	349,041,000	922 » 923	485	
923	349,720,000	349,720,000	923 » 924	485	
924	350,399,008	350,399,000	924 » 925	485	
925	351,078,016	351,078,000	925 » 926	485	
926	351,756,992	351,757,000	926 » 927	485	
927	352,436,000	352,436,000	927 » 928	485	
928	353,115,008	353,115,000	928 » 929	485	
929	353,793,984	353,794,000	929 » 930	490	
930	354,480,000	354,480,000	930 » 931	490	
931	355,166,016	355,166,000	931 » 932	490	
932	355,852,000	355,852,000	932 » 933	490	
933	356,537,984	356,538,000	933 » 934	490	
934	357,224,000	357,224,000	934 » 935	490	
935	357,910,016	357,910,000	935 » 936	490	
936	358,596,000	358,596,000	936 » 937	490	
937	359,281,984	359,282,000	937 » 938	490	
938	359,968,000	359,968,000	938 » 939	490	
939	360,654,016	360,654,000	939 » 940	490	
940	361,340,000	361,340,000	940 » 941	490	
941	362,025,984	362,026,000	941 » 942	495	
942	362,719,008	362,719,000	942 » 943	495	
943	363,412,000	363,412,000	943 » 944	495	
944	364,104,992	364,105,000	944 » 945	495	
945	364,798,016	364,798,000	945 » 946	495	
946	365,491,008	365,491,000	946 » 947	495	
947	366,184,000	366,184,000	947 » 948	495	
948	366,876,992	366,877,000	948 » 949	495	
949	367,569,984	367,570,000	949 » 950	495	
950	368,263,008	368,263,000	950 » 951	495	
951	368,956,000	368,956,000	951 » 952	495	
952	369,648,992	369,649,000	952 » 953	495	
953	370,342,016	370,342,000	953 » 954	500	
954	371,041,984	371,042,000	954 » 955	500	
955	371,742,016	371,742,000	955 » 956	500	
956	372,441,984	372,442,000	956 » 957	500	
957	373,142,016	373,142,000	957 » 958	500	
958	373,841,984	373,842,000	958 » 959	500	
959	374,542,016	374,542,000	959 » 960	500	
960	375,241,984	375,242,000	960 » 961	500	
961	375,942,016	375,942,000	961 » 962	500	
962	376,641,984	376,642,000	962 » 963	500	
963	377,342,016	377,342,000	963 » 964	500	
964	378,041,984	378,042,000	964 » 965	500	
965	378,742,016	378,742,000	965 » 966	505	
966	379,448,992	379,449,000	966 » 967	505	
967	380,156,000	380,156,000	967 » 968	505	
968	380,863,008	380,863,000	968 » 969	505	
969	381,569,984	381,570,000	969 » 970	505	
970	382,276,992	382,277,000	970 » 971	505	
971	382,984,000	382,984,000	971 » 972	505	
972	383,691,008	383,691,000	972 » 973	505	
973	384,398,016	384,398,000	973 » 974	505	
974	385,104,992	385,105,000	974 » 975	505	
975	385,812,000	385,812,000	975 » 976	505	
976	386,519,008	386,519,000	976 » 977	505	
977	387,225,984	387,226,000	977 » 978	510	
978	387,940,000	387,940,000	978 » 979	510	
979	388,654,016	388,654,000	979 » 980	510	
980	389,368,000	389,368,000	980 » 981	510	
981	390,081,984	390,082,000	981 » 982	510	
982	390,796,000	390,796,000	982 » 983	510	
983	391,510,016	391,510,000	983 » 984	510	
984	392,224,000	392,224,000	984 » 985	510	
985	392,937,984	392,938,000	985 » 986	510	
986	393,652,000	393,652,000	986 » 987	510	
987	394,366,016	394,366,000	987 » 988	510	
988	395,080,000	395,080,000	988 » 989	510	
989	395,793,984	395,794,000	989 » 990	510	
990	396,508,000	396,508,000	990 » 991	515	
991	397,228,992	397,229,000	991 » 992	515	
992	397,950,016	397,950,000	992 » 993	515	
993	398,671,008	398,671,000	993 » 994	515	
994	399,392,000	399,392,000	994 » 995	515	
995	400,112,992	400,113,000	995 » 996	515	
996	400,833,984	400,834,000	996 » 997	515	
997	401,555,008	401,555,000	997 » 998	515	
998	402,276,000	402,276,000	998 » 999	515	
999	402,996,992	402,997,000	999 » 1000	515	
1000	403,718,016	403,718,000	1000 » 1001	515	
1001	404,439,008	404,439,000	1001 » 1002	515	
1002	405,160,000	405,160,000	1002 » 1003	520	
1003	405,888,000	405,888,000	1003 » 1004	520	
1004	406,616,000	406,616,000	1004 » 1005	520	
1005	407,344,000	407,344,000	1005 » 1006	520	
1006	408,072,000	408,072,000	1006 » 1007	520	
1007	408,800,000	408,800,000	1007 » 1008	520	
1008	409,528,000	409,528,000	1008 » 1009	520	
1009	410,256,000	410,256,000	1009 » 1010	520	
1010	410,984,000	410,984,000	1010 » 1011	520	
1011	411,712,000	411,712,000	1011 » 1012	520	
1012	412,440,000	412,440,000	1012 » 1013	520	
1013	413,168,000	413,168,000	1013 » 1014	520	
1014	413,896,000	413,896,000	1014 » 1015	525	
1015	414,631,008	414,631,000	1015 » 1016	525	
1016	415,366,016	415,366,000	1016 » 1017	525	
1017	416,100,992	416,101,000	1017 » 1018	525	
1018	416,836,000	416,836,000	1018 » 1019	525	
1019	417,571,008	417,571,000	1019 » 1020	525	
1020	418,305,984	418,306,000	1020 » 1021	525	
1021	419,040,992	419,041,000	1021 » 1022	525	
1022	419,776,000	419,776,000	1022 » 1023	525	
1023	420,511,008	420,511,000	1023 » 1024	525	
1024	421,246,016	421,246,000	1024 » 1025	525	
1025	421,980,992	421,981,000	1025 » 1026	525	
1026	422,716,000	422,716,000	1026 » 1027	530	
1027	423,457,984	423,458,000	1027 » 1028	530	
1028	424,200,000	424,200,000	1028 » 1029	530	
1029	424,942,016	424,942,000	1029 » 1030	530	
1030	425,684,000	425,684,000	1030 » 1031	530	
1031	426,425,984	426,426,000	1031 » 1032	530	
1032	427,168,000	427,168,000	1032 » 1033	530	
1033	427,910,016	427,910,000	1033 » 1034	530	
1034	428,652,000	428,652,000	1034 » 1035	530	
1035	429,393,984	429,394,000	1035 » 1036	530	
1036	430,136,000	430,136,000	1036 » 1037	530	
1037	430,878,016	430,878,000	1037 » 1038	530	
1038	431,620,000	431,620,000	1038 » 1039	535	
1039	432,368,992	432,369,000	1039 » 1040	535	
1040	433,118,016	433,118,000	1040 » 1041	535	
1041	433,867,008	433,867,000	1041 » 1042	535	
1042	434,616,000	434,616,000	1042 » 1043	535	
1043	435,364,992	435,365,000	1043 » 1044	535	
1044	436,113,984	436,114,000	1044 » 1045	535	
1045	436,863,008	436,863,000	1045 » 1046	535	
1046	437,612,000	437,612,000	1046 » 1047	535	
1047	438,360,992	438,361,000	1047 » 1048	535	
1048	439,110,016	439,110,000	1048 » 1049	535	
1049	439,859,008	439,859,000	1049 » 1050	535	
1050	440,608,000	440,608,000	1050 » 1051	535	
1051	441,356,992	441,357,000	1051 » 1052	540	
1052	442,112,992	442,113,000	1052 » 1053	540	
1053	442,868,992	442,869,000	1053 » 1054	540	
1054	443,624,992	443,625,000	1054 » 1055	540	
1055	444,380,992	444,381,000	1055 » 1056	540	
1056	445,136,992	445,137,000	1056 » 1057	540	
1057	445,892,992	445,893,000	1057 » 1058	540	
1058	446,648,992	446,649,000	1058 » 1059	540	
1059	447,404,992	447,405,000	1059 » 1060	540	
1060	448,160,992	448,161,000	1060 » 1061	540	
1061	448,916,992	448,917,000	1061 » 1062	540	
1062	449,672,992	449,673,000	1062 » 1063	540	
1063	450,428,992	450,429,000	1063 » 1064	545	
1064	451,192,000	451,192,000	1064 » 1065	545	
1065	451,955,008	451,955,000	1065 » 1066	545	
1066	452,718,016	452,718,000	1066 » 1067	545	
1067	453,480,992	453,481,000	1067 » 1068	545	
1068	454,244,000	454,244,000	1068 » 1069	545	
1069	455,007,008	455,007,000	1069 » 1070	545	
1070	455,769,984	455,770,000	1070 » 1071	545	
1071	456,532,992	456,533,000	1071 » 1072	545	
1072	457,296,000	457,296,000	1072 » 1073	545	
1073	458,059,008	458,059,000	1073 » 1074	545	
1074	458,822,016	458,822,000	1074 » 1075	545	
1075	459,584,992	459,585,000	1075 » 1076	550	
1076	460,355,008	460,355,000	1076 » 1077	550	
1077	461,124,992	461,125,000	1077 » 1078	550	
1078	461,895,008	461,895,000	1078 » 1079	550	
1079	462,664,992	462,665,000	1079 » 1080	550	
1080	463,435,008	463,435,000	1080 » 1081	550	
1081	464,204,992	464,205,000	1081 » 1082	550	
1082	464,975,008	464,975,000	1082 » 1083	550	
1083	465,744,992	465,745,000	1083 » 1084	550	
1084	466,515,008	466,515,000	1084 » 1085	550	
1085	467,284,992	467,285,000	1085 » 1086	550	
1086	468,055,008	468,055,000	1086 » 1087	550	
1087	468,824,992	468,825,000	1087 » 1088	550	
1088	469,595,008	469,595,000	1088 » 1089	555	
1089	470,372,000	470,372,000	1089 » 1090	555	
1090	471,148,992	471,149,000	1090 » 1091	555	
1091	471,926,016	471,926,000	1091 » 1092	555	
1092	472,703,008	472,703,000	1092 » 1093	555	
1093	473,480,000	473,480,000	1093 » 1094	555	
1094	474,256,992	474,257,000	1094 » 1095	555	
1095	475,033,984	475,034,000	1095 » 1096	555	
1096	475,811,008	475,811,000	1096 » 1097	555	
1097	476,588,000	476,588,000	1097 » 1098	555	
1098	477,364,992	477,365,000	1098 » 1099	555	
1099	478,142,016	478,142,000	1099 » 1100	555	
1100	478,919,008	478,919,000	1100 » 1101	560	
1101	479,703,008	479,703,000	1101 » 1102	560	
1102	480,487,008	480,487,000	1102 » 1103	560	
1103	481,271,008	481,271,000	1103 » 1104	560	
1104	482,055,008	482,055,000	1104 » 1105	560	
1105	482,839,008	482,839,000	1105 » 1106	560	
1106	483,623,008	483,623,000	1106 » 1107	560	
1107	484,407,008	484,407,000	1107 » 1108	560	
1108	485,191,008	485,191,000	1108 » 1109	560	
1109	485,975,008	485,975,000	1109 » 1110	560	
1110	486,759,008	486,759,000	1110 » 1111	560	
1111	487,543,008	487,543,000	1111 » 1112	560	
1112	488,327,008	488,327,000	1112 » 1113	565	
1113	489,118,016	489,118,000	1113 » 1114	565	
1114	489,908,992	489,909,000	1114 » 1115	565	
1115	490,700,000	490,700,000	1115 » 1116	565	
1116	491,491,008	491,491,000	1116 » 1117	565	
1117	492,281,984	492,282,000	1117 » 1118	565	
1118	493,072,992	493,073,000	1118 » 1119	565	
1119	493,864,000	493,864,000	1119 » 1120	565	
1120	494,655,008	494,655,000	1120 » 1121	565	
1121	495,446,016	495,446,000	1121 » 1122	565	
1122	496,236,992	496,237,000	1122 » 1123	565	
1123	497,028,000	497,028,000	1123 » 1124	565	
1124	497,819,008	497,819,000	1124 » 1125	565	
1125	498,609,984	498,610,000	1125 » 1126	570	
1126	499,408,000	499,408,000	1126 » 1127	570	
1127	500,206,016	500,206,000	1127 » 1128	570	
1128	501,004,000	501,004,000	1128 » 1129	570	
1129	501,801,984	501,802,000	1129 » 1130	570	
1130	502,600,000	502,600,000	1130 » 1131	570	
1131	503,398,016	503,398,000	1131 » 1132	570	
1132	504,196,000	504,196,000	1132 » 1133	570	
1133	504,993,984	504,994,000	1133 » 1134	570	
1134	505,792,000	505,792,000	1134 » 1135	570	
1135	506,590,016	506,590,000	1135 » 1136	570	
1136	507,388,000	507,388,000	1136 » 1137	570	
1137	508,185,984	508,186,000	1137 » 1138	575	
1138	508,991,008	508,991,000	1138 » 1139	575	
1139	509,796,000	509,796,000	1139 » 1140	575	
1140	510,600,992	510,601,000	1140 » 1141	575	
1141	511,406,016	511,406,000	1141 » 1142	575	
1142	512,211,008	512,211,000	1142 » 1143	575	
1143	513,016,000	513,016,000	1143 » 1144	575	
1144	513,820,992	513,821,000	1144 » 1145	575	
1145	514,625,984	514,626,000	1145 » 1146	575	
1146	515,431,008	515,431,000	1146 » 1147	575	
1147	516,236,000	516,236,000	1147 » 1148	575	
1148	517,040,992	517,041,000	1148 » 1149	575	
1149	517,846,016	517,846,000	1149 » 1150	575	
1150	518,651,008	518,651,000	1150 » 1151	580	
1151	519,463,008	519,463,000	1151 » 1152	580	
1152	520,275,008	520,275,000	1152 » 1153	580	
1153	521,087,008	521,087,000	1153 » 1154	580	
1154	521,899,008	521,899,000	1154 » 1155	580	
1155	522,711,005	522,711,000	1155 » 1156	580	
1156	523,523,008	523,523,000	1156 » 1157	580	
1157	524,335,008	524,335,000	1157 » 1158	580	
1158	525,147,008	525,147,000	1158 » 1159	580	
1159	525,959,008	525,959,000	1159 » 1160	580	
1160	526,771,008	526,771,000	1160 » 1161	580	
1161	527,583,008	527,583,000	1161 » 1162	580	
1162	528,395,008	528,395,000	1162 » 1163	585	
1163	529,214,016	529,214,000	1163 » 1164	585	
1164	530,032,992	530,033,000	1164 » 1165	585	
1165	530,852,000	530,852,000	1165 » 1166	585	
1166	531,671,008	531,671,000	1166 » 1167	585	
1167	532,489,984	532,490,000	1167 » 1168	585	
1168	533,308,992	533,309,000	1168 » 1169	585	
1169	534,128,000	534,128,000	1169 » 1170	585	
1170	534,947,008	534,947,000	1170 » 1171	585	
1171	535,766,016	535,766,000	1171 » 1172	585	
1172	536,584,992	536,585,000	1172 » 1173	585	
1173	537,404,032	537,404,000	1173 » 1174	585	
1174	538,222,976	538,223,000	1174 » 1175	585	
1175	539,041,984	539,042,000	1175 » 1176	590	
1176	539,868,032	539,868,000	1176 » 1177	590	
1177	540,694,016	540,694,000	1177 » 1178	590	
1178	541,520,000	541,520,000	1178 » 1179	590	
1179	542,345,984	542,346,000	1179 » 1180	590	
1180	543,171,968	543,172,000	1180 » 1181	590	
1181	543,998,016	543,998,000	1181 » 1182	590	
1182	544,824,000	544,824,000	1182 » 1183	590	
1183	545,649,984	545,650,000	1183 » 1184	590	
1184	546,476,032	546,476,000	1184 » 1185	590	
1185	547,302,016	547,302,000	1185 » 1186	590	
1186	548,128,000	548,128,000	1186 » 1187	590	
1187	548,953,984	548,954,000	1187 » 1188	595	
1188	549,787,008	549,787,000	1188 » 1189	595	
1189	550,620,032	550,620,000	1189 » 1190	595	
1190	551,452,992	551,453,000	1190 » 1191	595	
1191	552,286,016	552,286,000	1191 » 1192	595	
